a    «
aa   ¬
A    ¬
i    þ
ii   ®
I    ®
u    ¯
uu   °
U    °
e    ±
ee   ²
E    ²
ai   ³
o    ´
oo   ¶
O    ¶
au   ´ª
q    ·
ka   ¸
kaa  ¸¡
kA   ¸¡
ki   ¸¢
kii  ¸£
kI   ¸£
ku   Ì
kuu  Ü
kU   Ü
ke   ¦¸
kee  §¸
kE   §¸
kai  ¨¸
ko   ¦¸¡
koo  §¸¡
kO   §¸¡
kau  ¦¸ª
k    ì
ga   ¸
gaa  ¸¡
gA   ¸¡
gi   ¸¢
gii  ¸£
gI   ¸£
gu   Ì
guu  Ü
gU   Ü
ge   ¦¸
gee  §¸
gE   §¸
gai  ¨¸
go   ¦¸¡
goo  §¸¡
gO   §¸¡
gau  ¦¸ª
g    ì
tha  ¾
thaa ¾¡
thA  ¾¡
thi  ¾¢
thii ¾£
thI  ¾£
thu  Ð
thuu à
the  ¦¾
thee §¾
thE  §¾
thai ¨¾
tho  ¦¾¡
thoo §¾¡
thO  §¾¡
thau ¦¾ª
th   ò
ma   Á
maa  Á¡
mA   Á¡
mi   Á¢
mii  Á£
mI   Á£
mu   Ó
muu  ã
mU   ã
me   ¦Á
mee  §Á
mE   §Á
mai  ¨Á
mo   ¦Á¡
moo  §Á¡
mO   §Á¡
mau  ¦Áª
m    õ
ra   Ã
raa  Ã¡
rA   Ã¡
ri   Ã¢
rii  Ã£
rI   Ã£
ru   Õ
ruu  å
rU   å
re   ¦Ã
ree  §Ã
rE   §Ã
rai  ¨Ã
ro   ¦Ã¡
roo  §Ã¡
rO   §Ã¡
rau  ¦Ãª
r    ÷
pa   À
paa  À¡
pA   À¡
pi   À¢
pii  À£
pI   À£
pu   Ò
puu  â
pU   â
pe   ¦À
pee  §À
pE   §À
pai  ¨À
po   ¦À¡
poo  §À¡
pO   §À¡
pau  ¦Àª
p    ô
ba   À
baa  À¡
bA   À¡
bi   À¢
bii  À£
bI  À£
bu   Ò
buu  â
bU   â
be   ¦À
bee  §À
bE   §À
bai  ¨À
bo   ¦À¡
boo  §À¡
bO   §À¡
bau  ¦Àª
b    ô
da   ¼
daa  ¼¡
dA   ¼¡
di   Ê
dii  Ë
dI   Ë
du   Î
duu  Þ
dU   Þ
de   ¦¼
dee  §¼
dE   §¼
dai  ¨¼
do   ¦¼¡
doo  §¼¡
dO   §¼¡
dau  ¦¼ª
d    ð
ta   ¼
taa  ¼¡
tA   ¼¡
ti   Ê
tii  Ë
tI   Ë
tu   Î
tuu  Þ
tU   Þ
te   ¦¼
tee  §¼
tE   §¼
tai  ¨¼
to   ¦¼¡
too  §¼¡
tO   §¼¡
tau  ¦¼ª
t    ð
la   Ä
laa  Ä¡
lA   Ä¡
li   Ä¢
lii  Ä£
lI   Ä£
lu   Ö
luu  æ
lU   æ
le   ¦Ä
lee  §Ä
lE   §Ä
lai  ¨Ä
lo   ¦Ä¡
loo  §Ä¡
lO   §Ä¡
lau  ¦Äª
l    ø
va   Å
vaa  Å¡
vA   Å¡
vi   Å¢
vii  Å£
vI   Å£
vu   ×
vuu  ç
vU   ç
ve   ¦Å
vee  §Å
vE   §Å
vai  ¨Å
vo   ¦Å¡
voo  §Å¡
vO   §Å¡
vau  ¦Åª
v    ù
na   É
naa  É¡
nA   É¡
ni   É¢
nii  É£
nI   É£
nu   Û
nuu  ë
nU   ë
ne   ¦É
nee  §É
nE   §É
nai  ¨É
no   ¦É¡
noo  §É¡
nO   §É¡
nau  ¦Éª
n    ý
ya   Â
yaa  Â¡
yA   Â¡
yi   Â¢
yii  Â£
yI   Â£
yu   Ô
yuu  ä
yU   ä
ye   ¦Â
yee  §Â
yE   §Â
yai  ¨Â
yo   ¦Â¡
yoo  §Â¡
yO   §Â¡
yau  ¦Âª
y    ö
La   Ç
Laa  Ç¡
LA   Ç¡
Li   Ç¢
Lii  Ç£
LI   Ç£
Lu   Ù
Luu  é
LU   é
Le   ¦Ç
Lee  §Ç
LE   §Ç
Lai  ¨Ç
Lo   ¦Ç¡
Loo  §Ç¡
LO   §Ç¡
Lau  ¦Çª
L    û
Ra   È
Raa  È¡
RA   È¡
Ri   È¢
Rii  È£
RI   È£
Ru   Ú
Ruu  ê
RU   ê
Re   ¦È
Ree  §È
RE   §È
Rai  ¨È
Ro   ¦È¡
Roo  §È¡
RO   §È¡
Rau  ¦Èª
R    ü
sa   º
saa  º¡
sA  º¡
si   º¢
sii  º£
sI   º£
su   Í
suu  Ý
sU   Ý
se   ¦º
see  §º
sE   §º
sai  ¨º
so   ¦º¡
soo  §º¡
sO   §º¡
sau  ¦ºª
s    î
ca   º
caa  º¡
cA   º¡
ci   º¢
cii  º£
cI   º£
cu   Í
cuu  Ý
cU   Ý
ce   ¦º
cee  §º
cE   §º
cai  ¨º
co   ¦º¡
coo  §º¡
cO   §º¡
cau  ¦ºª
c    î
n-a  ¿
n-aa ¿¡
n-A  ¿¡
n-i  ¿¢
n-ii ¿£
n-I  ¿£
n-u  Ñ
n-uu á
n-U  á
n-e  ¦¿
n-ee §¿
n-E  §¿
n-ai ¨¿
n-o  ¦¿¡
n-oo §¿¡
n-O  §¿¡
n-au ¦¿ª
n-   ó
wa   ¿
waa  ¿¡
wA  ¿¡
wi   ¿¢
wii  ¿£
wI   ¿£
wu   Ñ
wuu  á
wU   á
we   ¦¿
wee  §¿
wE   §¿
wai  ¨¿
wo   ¦¿¡
woo  §¿¡
wO   §¿¡
wau  ¦¿ª
w    ó
Na   ½
Naa  ½¡
NA  ½¡
Ni   ½¢
Nii  ½£
NI  ½£
Nu   Ï
Nuu  ß
NU   ß
Ne   ¦½
Nee  §½
NE   §½
Nai  ¨½
No   ¦½¡
Noo  §½¡
NO   §½¡
Nau  ¦½ª
N    ñ
za   Æ
zaa  Æ¡
zA  Æ¡
zi   Æ¢
zii  Æ£
zI  Æ£
zu   Ø
zuu  è
zU  è
ze   ¦Æ
zee  §Æ
zE  §Æ
zai  ¨Æ
zo   ¦Æ¡
zoo  §Æ¡
zO  §Æ¡
zau  ¦Æª
z    ú
nja  »
njaa »¡
njA  »¡
nji  »¢
njii »£
njI  »£
nju  š
njuu œ
njU  œ
nje  ¦»
njee §»
njE §»
njai ¨»
njo  ¦»¡
njoo §»¡
njO §»¡
njau ¦»ª
nj   ï
nga  ¹
ngaa ¹¡
ngA ¹¡
ngi   ¹¢
ngii ¹£
ngI  ¹£
ngu  ™
nguu ›
ngU  ›
nge  ¦¹
ngee §¹
ngE  §¹
ngai ¨¹
ngo  ¦¹¡
ngoo §¹¡
ngO  §¹¡
ngau ¦¹ª
ng   í
ja   ƒ
jaa  ƒ¡
jA   ƒ¡
ji   ƒ¢
jii  ƒ£
jI   ƒ£
ju   ƒ¤
juu  ƒ¥
jU   ƒ¥
je   ¦ƒ
jee  §ƒ
jE   §ƒ
jai  ¨ƒ
jo   ¦ƒ¡
joo  §ƒ¡
jO   §ƒ¡
jau  ¦ƒª
j    ˆ
ha   †
haa  †¡
hA   †¡
hi   †¢
hii  †£
hI   †£
hu   †¤
huu  †¥
hU   †¥
he   ¦†
hee  §†
hE   §†
hai  ¨†
ho   ¦†¡
hoo  §†¡
hO   §†¡
hau  ¦†ª
h    ‹
Sa   …
Saa  …¡
SA   …¡
Si   …¢
Sii  …£
SI   …£
Su   …¤
Suu  …¥
SU   …¥
Se   ¦…
See  §…
SE   §…
Sai  ¨…
So   ¦…¡
Soo  §…¡
SO   §…¡
Sau  ¦…ª
Sa   Š
xa   ‡
xaa  ‡¡
xA   ‡¡
xi   ‡¢
xii  ‡£
xI   ‡£
xu   ‡¤
xuu  ‡¥
xU   ‡¥
xe   ¦‡
xee  §‡
xE   §‡
xai  ¨‡
xo   ¦‡¡
xoo  §‡¡
xO   §‡¡
xau  ¦‡ª
x    Œ
sha  „
shaa „¡
shA  „¡
shi  „¢
shii „£
shI  „£
shu  „¤
shuu „¥
shU  „¥
she  ¦„
shee §„
shE  §„
shai ¨„
sho  ¦„¡
shoo §„¡
shO  §„¡
shau ¦„ª
sh   ‰
sri  ‚
sr   ‚
f    º¢ÅÌÕ¿¡¾ý - þí§¸ ¯í¸û ¦ÀÂ¨ÃÔõ §À¡¼Ä¡õ!
0    0
1    1
2    2
3    3
4    4
5    5
6    6
7    7
8    8
9    9
`    `
~    ~
-    -
_    _
+    +
=    =
!    !
@    @
#    #
$    $
%    %
^    ^
&    &
*    *
(    (
)    )
:    :
;    ;
"    "
'    '
.    .
,    ,
<    <
>    >
?    ?
/    /
\    \
|    |
{    {
}    }
[    [
]    ]
